agent_id,merchant_id,amount,timestamp,agent_verified,label
agent_011,merchant_d,837.08,2026-08-05T16:25:00,True,normal
agent_004,merchant_d,938.4,2026-08-04T06:40:00,True,normal
agent_009,merchant_a,1088.23,2026-08-07T17:29:00,True,normal
agent_002,merchant_f,2324.8,2026-08-01T00:58:00,True,normal
agent_019,merchant_f,2807.38,2026-08-06T22:45:00,True,normal
agent_017,merchant_g,936.48,2026-08-03T12:21:00,True,normal
agent_018,merchant_j,687.06,2026-08-03T08:34:00,True,normal
agent_001,merchant_h,279.92,2026-08-03T10:16:00,True,normal
agent_011,merchant_i,12078.98,2026-08-01T03:23:00,True,odd_hour
agent_008,merchant_j,128.28,2026-08-06T17:59:00,True,normal
agent_008,merchant_a,2936.55,2026-08-01T00:56:00,True,normal
agent_002,merchant_d,2062.1,2026-08-05T01:42:00,True,normal
agent_016,merchant_h,1491.66,2026-08-05T17:29:00,True,normal
agent_019,merchant_h,766.84,2026-08-07T13:20:00,True,normal
agent_007,merchant_e,2873.21,2026-08-04T18:55:00,True,normal
agent_011,merchant_h,2901.2,2026-08-03T22:16:00,True,normal
agent_001,merchant_e,1844.61,2026-08-03T13:06:00,False,unverified
agent_007,merchant_b,19471.41,2026-08-02T01:38:00,True,odd_hour
agent_011,merchant_c,162.99,2026-08-02T15:52:00,True,normal
agent_017,merchant_e,2942.51,2026-08-07T18:57:00,True,normal
agent_015,merchant_b,1630.12,2026-08-05T05:19:00,True,normal
agent_005,merchant_c,1641.17,2026-08-05T06:06:00,True,normal
agent_003,merchant_c,2701.1,2026-08-06T03:26:00,True,normal
agent_018,merchant_f,399.97,2026-08-02T12:18:00,True,normal
agent_004,merchant_f,2095.64,2026-08-03T01:59:00,True,normal
agent_015,merchant_c,248.34,2026-08-01T09:30:00,True,normal
agent_005,merchant_a,2512.06,2026-08-07T04:58:00,True,normal
agent_003,merchant_e,954.16,2026-08-04T17:32:00,True,normal
agent_007,merchant_f,891.98,2026-08-04T06:26:00,True,normal
agent_015,merchant_j,2021.16,2026-08-07T11:36:00,True,normal
agent_010,merchant_h,60219.61,2026-08-03T23:02:00,True,amount_spike
agent_004,merchant_c,2653.24,2026-08-05T21:40:00,True,normal
agent_012,merchant_j,180.68,2026-08-02T21:25:00,True,normal
agent_014,merchant_h,586.1,2026-08-02T13:03:00,True,normal
agent_004,merchant_f,1961.51,2026-08-01T06:10:00,True,normal
agent_010,merchant_e,1492.84,2026-08-05T12:32:00,False,unverified
agent_015,merchant_i,2864.98,2026-08-07T14:28:00,True,normal
agent_017,merchant_j,986.03,2026-08-07T08:37:00,True,normal
agent_013,merchant_e,389.76,2026-08-05T18:03:00,True,normal
agent_020,merchant_e,2582.3,2026-08-01T00:46:00,True,normal
